id,key
0,生物 实验 有效载荷 防护 安全等级 载人 屏障 材料 样品 航天
1,有效载荷 测试 空间站 脱气 评价 倍频程 限值 医学 要求 污染物
2,接地 空间站 舱体 搭接 回线 电阻 设备 绝缘 隔离 安装
3,仿真 飞行器 轨道 追踪 参数 软件 对接 模型 试验 轨道控制
4,软件 计划 质量保证 审核 文件 文档资料 评审 要求 验证 叙述
5,项目 软件 估算 报告 应该 项目经理 工作 活动 进展 阶段
6,天线 方向 检验 增益 鉴定 相位 测量 电平 极化 测试
7,温度 试验 动力源 工作 样品 高度 接通 规定 步骤 电源
8,磁带 测试 电平 记录 信号 重放 磁道 输出 波长 磁电
9,文件 要素 示例 编号 符号 表述 标准化 给出 标准 脚注
10,润滑 轴承 润滑脂 固体 润滑油 转动 预紧 寿命 摩擦 部件
11,样品 实验 封装 材料 检验 坩埚 制备 材料科学 工艺 固体
12,相机 摄影 图像 试验 元素 测量 近景 检查点 行星 地形
13,玻璃纤维 织物 幅宽 代号 织物组织 浸润 规范 检验 理化 疵点
14,玻璃纤维 织物 幅宽 代号 织物组织 浸润 规范 检验 理化 疵点
15,螺旋线 渐开线 样板 偏差 齿廓 测量 确定 校准 倾斜 分量
16,陀螺 规定 试验 速率 规范 符合 检验 相关 输出 要求
17,锂电池 试样 试验 单体 爆炸 放电 着火 蓄电池 充电 附录
18,弹簧 螺旋弹簧 负荷 高度 圆柱 总圈 外径 压并 机械 自由
19,公差 未注 尺寸 倒角 加工 部分 的未 图样 对称 光孔
20,公差 未注 尺寸 倒角 加工 部分 的未 图样 对称 光孔
21,试验 试样 产品 附着力 表面 刀具 涂层 镀层 标准 进行
22,借用 图样 登记 产品 办法 管理 更改 汇总表 登记表 通用件
23,避雷器 检验 试验 标准 电压 规定 电子 产品 电极 电流
24,软件 保证 活动 测试 一致性 评审 开发 代码 阶段 程序
25,软件 测试 需求 编写 说明书 附录 描述 格式 项目 黑体
